participant_id,test_type,trial_number,timestamp_ms,gsr_raw,gsr_derivative,gsr_threshold,target_value,current_state,instantaneous_score,cumulative_score
void2,Pre,1,18790,721.00,1.00,5.00,Calmed,Calmed,100,269
void2,Pre,1,18792,721.00,1.00,5.00,Calmed,Calmed,100,270
void2,Pre,1,18795,721.00,1.00,5.00,Calmed,Calmed,100,271
void2,Pre,1,18797,721.00,1.00,5.00,Calmed,Calmed,100,272
void2,Pre,1,18800,721.00,1.00,5.00,Calmed,Calmed,100,273
void2,Pre,1,18803,721.00,1.00,5.00,Calmed,Calmed,100,274
void2,Pre,1,18808,721.00,1.00,5.00,Calmed,Calmed,100,275
void2,Pre,1,18810,721.00,1.00,5.00,Calmed,Calmed,100,276
void2,Pre,1,18813,721.00,1.00,5.00,Calmed,Calmed,100,277
void2,Pre,1,18815,721.00,1.00,5.00,Calmed,Calmed,100,278
void2,Pre,1,18818,721.00,1.00,5.00,Calmed,Calmed,100,279
void2,Pre,1,18821,721.00,1.00,5.00,Calmed,Calmed,100,280
void2,Pre,1,18824,721.00,1.00,5.00,Calmed,Calmed,100,281
void2,Pre,1,18828,721.00,1.00,5.00,Calmed,Calmed,100,282
void2,Pre,1,18831,721.00,1.00,5.00,Calmed,Calmed,100,283
void2,Pre,1,18833,721.00,1.00,5.00,Calmed,Calmed,100,284
void2,Pre,1,18837,721.00,1.00,5.00,Calmed,Calmed,100,285
void2,Pre,1,18840,721.00,1.00,5.00,Calmed,Calmed,100,286
void2,Pre,1,18842,721.00,1.00,5.00,Calmed,Calmed,100,287
void2,Pre,1,18845,721.00,1.00,5.00,Calmed,Calmed,100,288
void2,Pre,1,18847,721.00,1.00,5.00,Calmed,Calmed,100,289
void2,Pre,1,18850,721.00,1.00,5.00,Calmed,Calmed,100,290
void2,Pre,1,18852,721.00,1.00,5.00,Calmed,Calmed,100,291
void2,Pre,1,18858,721.00,1.00,5.00,Calmed,Calmed,100,292
void2,Pre,1,18860,721.00,1.00,5.00,Calmed,Calmed,100,293
void2,Pre,1,18863,721.00,1.00,5.00,Calmed,Calmed,100,294
void2,Pre,1,18865,721.00,1.00,5.00,Calmed,Calmed,100,295
void2,Pre,1,18868,721.00,1.00,5.00,Calmed,Calmed,100,296
void2,Pre,1,18871,721.00,1.00,5.00,Calmed,Calmed,100,297
void2,Pre,1,18874,721.00,1.00,5.00,Calmed,Calmed,100,298
void2,Pre,1,18876,721.00,1.00,5.00,Calmed,Calmed,100,299
void2,Pre,1,18879,721.00,1.00,5.00,Calmed,Calmed,100,300
void2,Pre,1,18883,721.00,1.00,5.00,Calmed,Calmed,100,301
void2,Pre,1,18886,721.00,1.00,5.00,Calmed,Calmed,100,302
void2,Pre,1,18890,721.00,1.00,5.00,Calmed,Calmed,100,303
void2,Pre,1,18892,721.00,1.00,5.00,Calmed,Calmed,100,304
void2,Pre,1,18895,721.00,1.00,5.00,Calmed,Calmed,100,305
void2,Pre,1,18897,721.00,1.00,5.00,Calmed,Calmed,100,306
void2,Pre,1,18899,721.00,1.00,5.00,Calmed,Calmed,100,307
void2,Pre,1,18902,721.00,1.00,5.00,Calmed,Calmed,100,308
void2,Pre,1,18908,721.00,1.00,5.00,Calmed,Calmed,100,309
void2,Pre,1,18910,721.00,1.00,5.00,Calmed,Calmed,100,310
void2,Pre,1,18913,721.00,1.00,5.00,Calmed,Calmed,100,311
void2,Pre,1,18915,721.00,1.00,5.00,Calmed,Calmed,100,312
void2,Pre,1,18918,721.00,1.00,5.00,Calmed,Calmed,100,313
void2,Pre,1,18921,721.00,1.00,5.00,Calmed,Calmed,100,314
void2,Pre,1,18926,721.00,1.00,5.00,Calmed,Calmed,100,315
void2,Pre,1,18929,721.00,1.00,5.00,Calmed,Calmed,100,316
void2,Pre,1,18931,721.00,1.00,5.00,Calmed,Calmed,100,317
void2,Pre,1,18934,721.00,1.00,5.00,Calmed,Calmed,100,318
